region,location,street_address,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,Årsta,Eklångsvägen 13,2,42.7 ,2225,2550000,2190000,1945
Solna,Råsunda,"Uppfartsvägen 5, 3tr",2,45 ,2774,3110000,2695000,1939
Stockholm,Älvsjö,Vibyholmsvägen 2,2,57 ,3114,2450000,1995000,1949
Stockholm,Enskede,Skebokvarnsvägen 376,1,33 ,2382,1850000,1495000,2007
Stockholm,Östermalm,"Sandhamnsgatan 47, 2 tr",2.5,55 ,2821,4600000,4195000,2007
Stockholm,Kungsholmen,Ture Nermans Gränd 6,2,47 ,1056,4100000,3795000,1930
Stockholm,Södermalm,"Bergsundsgatan 13, 5tr",1,19.4 ,1428,2490000,2095000,1930
Stockholm,Kungsholmen,Kungsholms Strand 183,1,30 ,1847,3000000,3000000,1929
Solna,SolnaHagaNorra,Hagavägen 16,2,54 ,3430,2800000,2495000,1946
Stockholm,Årsta,"Sandfjärdsgatan 124,7tr",3,75.5 ,4109,3100000,2795000,1960
Stockholm,Maria,"Fredmansgatan 7, gårdshus",2,34 ,1639,3560000,3095000,1878
Solna,Järvastaden,"Järva Skjutbaneväg 60, 4  tr",3,80 ,3449,4410000,3995000,2012
Stockholm,Liljeholmen,"Liljeholmsvägen 12, 6tr",3,80 ,4989,5250000,5250000,2008
Stockholm,Kungsholmen,Kronobergsgatan 20,1,28 ,2013,2975000,2995000,1911
Stockholm,Södermalm,"Bellmansgatan 26A, 3tr.",2,68 ,1247,6640000,5750000,1938
Sollentuna,Häggvik,Ugglevägen 1,4,93 ,5386,3700000,3495000,2014
Stockholm,Kungsholmen,Ola Hanssonsgatan 3,1.5,28 ,1709,2450000,2500000,1934
Solna,Bergshamra,Björnstigen 117,2,58 ,2706,3180000,2795000,1959
Stockholm,Riksby,Stramaljvägen 32,2,51 ,2856,3000000,2690000,1942
Stockholm,Högdalen,Harpsundsvägen 123,2,59.5 ,3193,2425000,1995000,1955
Stockholm,Midsommarkransen,"Valborgsmässovägen 1, vån 3 av 3",2,51 ,2950,3380000,2695000,1939
Stockholm,Södermalm,"Tideliusgatan 35, 5 tr",3,80 ,2301,6650000,6250000,1939
Solna,Råsunda,Näckrosvägen 34,2,53 ,3106,3500000,2895000,1948
Stockholm,Aspudden,Vapengatan 5,2,52 ,2992,3500000,2995000,1945
Stockholm,Östermalm,Danderydsgatan 28a,3,68 ,2654,6475000,6475000,1903
Stockholm,Aspudden,Hägerstensvägen 159A,3,70.5 ,3909,5000000,3995000,1947
Stockholm,Stockholm,"Larsbodavägen 76, 9tr",3.5,109.5 ,6417,3300000,2995000,1958
Stockholm,Högdalen,"Stenkvistavägen 10, 1 tr",3,66 ,3946,3300000,2995000,2018
Solna,Råsunda,Rosstigen 9,2,53 ,3187,3100000,2595000,1944
Nacka,NackaForum,Serenadvägen 18,3,84.5 ,5788,3800000,3800000,1944
Stockholm,Östermalm,Valhallavägen 49,3,61 ,2885,5200000,4995000,1944
Stockholm,Kungsholmen,"Fleminggatan 71, vån 2",2,38.5 ,2465,3360000,2990000,1898
Solna,Råsunda,"Gränsgatan 26, Plan 6",1.5,37 ,2066,2700000,2795000,1898
Stockholm,Liljeholmskajen,Sjöviksvägen 88,3,70 ,4133,4580000,4495000,2015
Stockholm,Björkhagen,Skanörvägen 10,3,76 ,4238,4400000,3975000,1949
Stockholm,Vasastan,"Atlasgatan 13, 2tr",2,42 ,1933,4200000,4200000,1928
Stockholm,Högdalen,"Skebokvarnsvägen 51D, 3tr",2,54.5 ,3389,2430000,2095000,1928
Stockholm,Traneberg,"Tranebergsvägen 26, 2tr",1.5,32 ,2432,2750000,2390000,1936
Nacka,Nacka,"Gustaf de Lavals torg 8, 3 tr",2,45 ,2625,3395000,3395000,1936
Stockholm,Östermalm,Grevgatan 18 A,2,54 ,2777,6260000,5495000,1883
Stockholm,Östermalm,Armfeltsgatan 24,3,73 ,2470,7600000,6750000,1950
Stockholm,Östermalm,Linnégatan 48B,2,67 ,1469,6850000,6495000,1905
Stockholm,Katarina,Åsögatan 106,2,70 ,3609,5125000,4875000,1999
Stockholm,Kungsholmen,Vitalisvägen 5,1,27 ,1623,2460000,2150000,1931
Stockholm,Vasastan,Sigtunagatan 13,2,62 ,2246,5500000,5395000,1901
Stockholm,Vasastan,Birger Jarlsgatan 104M,2,31.5 ,2339,3350000,2995000,1928
Stockholm,Hornstull,Bergsundsgatan 12,2,35.8 ,2028,3425000,2995000,1938
Solna,Ulriksdal,Gyllene Hästens Torg 7,2,67 ,3490,3300000,3095000,1938
Stockholm,Aspudden,Typografvägen 6 ,2,42 ,2619,3060000,2495000,1929
Stockholm,Enskededalen,"Slåttervägen 3, 3tr",3.5,73 ,4471,4125000,3995000,1930
Stockholm,Katarina,Dalslandsgatan 3,1.5,43 ,2371,3420000,2995000,1931
Sundbyberg,Ursvik,Milstensvägen 33,2,55 ,2803,2460000,2295000,2012
Stockholm,Norrmalm,Wallingatan 30,3,87 ,2242,7800000,7295000,1907
Stockholm,Mariatorget,"Maria Prästgårdsgata 27, 5 tr",4,85 ,3574,8350000,7650000,1912
Stockholm,Årsta,Slätbaksvägen 32,2,43.5 ,2445,2410000,1895000,1943
Stockholm,Vasastan,Birger Jarlsgatan 122,1.5,27.7 ,834,2850000,2900000,1973
Stockholm,Vasastan,"Tegnérgatan 19, 4tr",2,60 ,2791,5525000,4795000,1934
Stockholm,Kista,Jyllandsgatan 251,3,86 ,4410,2850000,2695000,1975
Stockholm,Beckomberga,Beckombergavägen 217,3,71 ,4419,3250000,3195000,2013
Stockholm,Vasastan,"Rödabergsgatan 10, 3 tr",2,66 ,2941,5200000,4995000,1925
Stockholm,Södermalm,Hornsgatan 154,2,53 ,2462,4350000,3950000,1904
Stockholm,Kungsholmen,Sysslomansgatan 26,2,36 ,2218,3200000,2795000,1939
Stockholm,Blåsut,Finngrundsvägen 3,2,41 ,2197,3130000,2495000,2019
Stockholm,Riksby,Kvarnbacksvägen 107,2,53 ,2893,2950000,2495000,1942
Stockholm,Kungsholmen,"Igeldammsgatan 38, 4tr",1,23 ,1691,2500000,1995000,1930
Solna,VästraSkogen,Infanterigatan 3,2,56.5 ,2840,2920000,2595000,1962
Stockholm,Stockholm,Engelbrektsgatan 12A,2,54 ,1960,5550000,5000000,1906
Stockholm,Bromma,Gustavslundsvägen 165,2,40 ,1972,2750000,2750000,1931
Stockholm,Vasastan,"Karlbergsvägen 33B, 1tr",2,57 ,2185,5460000,4950000,1900
Stockholm,Gamla Stan,"Skinnarviksringen 2, 1 tr",1,25 ,1924,2655000,2150000,1930
Stockholm,Kungsholmen,"Karlsviksgatan 9, 4 tr",1.5,42 ,1831,3950000,3450000,1926
Stockholm,Södermalm,Råggatan 14,1.5,31 ,1864,2800000,2395000,1931
Stockholm,Midsommarkransen,"Tellusborgsvägen 92, vån 6/6",1,30 ,1670,2600000,2195000,1972
Solna,Råsunda,Östervägen 14A,1,36 ,2139,2510000,1795000,1938
Sollentuna,Silverdal,"Margreteborgsvägen 19, 3tr",3,73 ,3837,3550000,3200000,2011
Stockholm,Hägerstensåsen,"Arvodesvägen 8, 1 tr",2,50 ,3823,2670000,2095000,1944
Stockholm,Södermalm,Hornsgatan 178,2.5,54 ,2343,4800000,4495000,1883
Stockholm,Kungsholmen,"Alströmergatan 23, 4 tr",2,38.5 ,1450,3725000,3095000,1959
Solna,Huvudsta,Wiboms Väg 4,4,103 ,5120,4900000,4595000,1966
Stockholm,StoraEssingen,"Bergsmarksvägen 8, 2tr",1.5,37 ,1940,2820000,2495000,1966
Stockholm,Kungsholmen,"Fredhällsgatan 13, 1,5tr",2,46 ,2156,3650000,3150000,1931
Solna,Frösunda,"Anders Lundströms gata 16, 4 tr",2,56 ,3113,3330000,2795000,2005
Stockholm,Hammarbyhöjden,Malmövägen 24,2,58 ,3196,3205000,2750000,1949
Stockholm,Kungsholmen,"Vitalisvägen 6, 3tr",2,38.5 ,2135,3110000,2795000,1931
Stockholm,Bromma,Almstigen 5,2,41 ,3485,2405000,1950000,1944
Solna,Vireberg,"Virebergsvägen 3, 6 tr",2,60.7 ,2957,3675000,2895000,1954
Stockholm,ÖrbySlott,Reuterholmsvägen 29,3,74 ,3783,2750000,2495000,1949
Solna,Järvastaden,Dammtorps allé 13,5,123 ,5456,6170000,5795000,2015
Stockholm,Vasastan,"Roslagsgatan 37, 1tr",3,117 ,5503,10500000,9695000,1897
Stockholm,Södermalm,"Maria Prästgårdsgata 12A, 2 tr",2,36 ,995,3600000,2995000,1907
Stockholm,Årsta,"Slätbaksvägen 26, 3 tr",3,53 ,3540,3025000,2575000,1943
Stockholm,Södermalm,Brännkyrkagatan 90,2,56 ,3146,4710000,3975000,1929
Stockholm,Vasastan,Birger Jarlsgatan 120C,2,62 ,1445,4375000,3995000,1970
Stockholm,Sofia,Ringvägen 130,2,40 ,1516,3050000,2850000,1964
Stockholm,Hammarbyhöjden,Hasselquistvägen 27,2,40 ,2678,2720000,2350000,1939
Stockholm,Årsta,Eklångsvägen 27,2,42.7 ,2523,2540000,2295000,1944
Stockholm,Vasastan,"Torsgatan 33, 1tr / Völundsgatan 12, 4tr",2,49 ,2431,5275000,4375000,1928
Stockholm,Högalid,Kristinehovsgatan 5B,1,33 ,2274,3050000,2595000,1941
Stockholm,Riksby,"Vadmalsvägen 2, 3/3tr",2,53.5 ,2893,2980000,2495000,1942
Stockholm,Midsommarkransen,Pingstvägen 64,2,44.5 ,3589,2950000,2490000,1939
Stockholm,Enskede,Yrkesvägen 3,1,30 ,1264,2500000,1995000,1925
Solna,HagaNorra,"Broddgatan 1, 3tr",2,63 ,2839,3100000,2995000,1950
Sundbyberg,Sundbyberg,Götgatan 4B,1,38.5 ,2280,2660000,2295000,1928
Stockholm,Midsommarkransen,Kyndelsmässogränd 18,2,42 ,3066,2650000,2095000,1944
Stockholm,Bromma,"Klädesvägen 30, vån 3",1,33 ,1927,2520000,1995000,2017
Stockholm,Östermalm,"Östermalmsgatan 61, 1tr",1,26 ,1015,3210000,2495000,1939
Stockholm,Södermalm,Hornsgatan 178,2,47 ,2521,4160000,3475000,1883
Stockholm,Snösätra,Bäverbäcksgränd 48,3,86.5 ,5899,2495000,2495000,1982
Stockholm,Kungsholmen,"Essinge brogata 15, vån 6/6",2,53 ,2645,4250000,3495000,1939
Stockholm,Södermalm,"Bondegatan 16D ÖG, 1TR",1,39 ,1586,3700000,3250000,1909
Solna,Arenastaden,"Evenemangsgatan 40, vån 15",2,57 ,3634,3200000,2995000,2018
Stockholm,Gröndal,"Bryggvägen 17, vån 5/5",3,85 ,4334,6000000,5495000,2018
Stockholm,Kärrtorp,Karlsövägen 1,2,49 ,3769,2600000,2295000,2008
Stockholm,Kungsholmen,Ture Nermans Gränd 4,2,37.5 ,845,3835000,3350000,1930
Stockholm,Blåsut,Fyrvaktarkroken 8,3,85 ,4958,4100000,4100000,2015
Stockholm,Vasastan,"Surbrunnsgatan 7, 4 tr",2,44 ,1553,4420000,3975000,1895
Solna,Råsunda,"Lövgatan 64, 3 tr",1,40 ,1883,2650000,2395000,1911
Stockholm,Hagsätra,Lerbäcksgränd 3,5,117 ,6560,2250000,2350000,1956
Sundbyberg,Sundbyberg,Humblegatan 15,2,61.5 ,4951,2600000,2395000,1966
Stockholm,Vasastan,Observatoriegatan 21,2,34 ,1603,3450000,3250000,1880
Stockholm,Bandhagen,Mosstenabacken 5,2,49.5 ,3069,2525000,1995000,1953
Stockholm,Kungsholmen,"Chapmansgatan 5, 4 tr",3,76 ,3387,7960000,6950000,1931
Stockholm,HammarbySjöstad,"Per Ludvig Lindgrens Terrass 4, 3tr",2,66 ,3485,4330000,4195000,2011
Sollentuna,Helenelundscentrum,Åkervägen 8,4,76 ,5247,2495000,2495000,1944
Stockholm,Vasastan,"Hagagatan 16, 2 tr",3,84 ,3727,7950000,7250000,1906
Stockholm,Östermalm,"Skeppargatan 77, 3tr",2,41.5 ,2173,4150000,3495000,1933
Solna,Huvudsta,Lundagatan 3A,2,58 ,2963,3325000,2750000,1952
Stockholm,GamlaEnskede,Handelsvägen 28,5,132 ,7251,8100000,6975000,1910
Stockholm,Södermalm,"Hornsgatan 29E, 1 tr",2,41 ,1944,4650000,3495000,1900
Stockholm,Akalla,Saimagatan 7,3,73 ,3919,2000000,1895000,1976
Stockholm,Enskede,Majrovägen 27,4,93 ,6229,4300000,3495000,1996
Solna,Hagalund,Hagalundsgatan 10,1.5,49.5 ,2246,2450000,2095000,1973
Stockholm,Kungsholmen,"Garvargatan 14, 1 tr",3.5,100 ,870,8900000,7900000,1929
Nacka,Saltsjöbaden,Ringvägshamnen 2C,2,71 ,4332,4250000,4150000,1929
Nacka,Kvarnholmen,"Kvarnholmsvägen 80, 5tr",2,48 ,2868,3550000,3575000,2017
Stockholm,Vällingby,"Jämtlandsgatan 107, Vån 11 (11112)",3,79 ,4180,3795000,3795000,2019
Stockholm,Kungsholmen,"Kungsklippan 12, 5tr",1,32 ,2514,3020000,2695000,1934
Nacka,Nacka,"Utövägen 26, 1 tr",4,93 ,5565,2600000,2395000,1934
Stockholm,Södermalm,"Fatburs Kvarngata 14, 4 tr",3,72 ,2404,5750000,4895000,1991
Stockholm,Östermalm,Ruddammsvägen 4,2,50 ,2390,4025000,3750000,1943
Stockholm,Gärdet,Sandhamnsgatan 23,1,24 ,440,2700000,2195000,1962
Stockholm,Högdalen,Harpsundsvägen 157,2,66 ,3300,2400000,1995000,1962
Stockholm,Kungsholmen,"Hornsbergs strand 15 B, 6tr",3,75 ,3750,7225000,6450000,2016
Stockholm,Kungsholmen,"Kungsholmsgatan 36, 1/2 tr",2,52 ,2820,4620000,4725000,1898
Stockholm,Östermalm,"Grev Magnigatan 15 B, 3tr",2,86 ,3737,8450000,7995000,1895
Stockholm,Traneberg,Kebnekaisevägen 9,2,43 ,2510,2950000,2495000,1945
Stockholm,HammarbySjöstad,Heliosgatan 14A,2,55 ,3251,3900000,4050000,2018
Stockholm,Stockholm,Högalidsgatan 29,1,24 ,1278,2600000,2195000,2018
Stockholm,Vasastan,Dalagatan 40 2tr ö.g.,1,33 ,1655,3850000,3475000,1886
Stockholm,Bandhagen,Fågelstavägen 12A,2,55 ,3225,2350000,1995000,1886
Stockholm,Södermalm,"Fatburstrappan 18, vån 16",2,42.5 ,3288,4000000,3295000,1996
Stockholm,Bagarmossen,"Voxnegränd 9, Högst upp!",2,55 ,4059,2800000,2295000,1953
Solna,Huvudsta,Krysshammarvägen 30,3,82.3 ,4023,3810000,3495000,1966
Stockholm,Katarina,Gotlandsgatan 60,2,40 ,2339,4025000,3395000,1935
Solna,Karolinska,Fogdevreten 10,1,34 ,2150,2200000,2200000,1972
Stockholm,Östermalm,Grevgatan 26,2,53 ,2118,5100000,4995000,1902
Stockholm,Sofia,Beckbrännarbacken 7,3,82 ,3793,6395000,6395000,1929
Stockholm,Hornstull,Slipgatan 5,2,32 ,1680,3300000,2750000,1938
Sundbyberg,CentralaSundbyberg,Tulegatan 18,1.5,39 ,1990,2915000,2900000,2015
Sundbyberg,Ursvik,Forskargränd 5,2,58 ,3393,2600000,2295000,2018
Stockholm,EnskedeGård,"Lindevägen 50, 3tr",2,62 ,4037,2550000,2695000,1989
Stockholm,Farsta,"Torsbygatan 34, 2 tr",1,25 ,1371,1700000,1495000,1958
Sundbyberg,LillaAlby,"Hamngatan 13B, 7/7 tr",2,67 ,3396,4670000,4395000,2017
Solna,Arenastaden,"Evenemangsgatan 40, 7 tr",3,69 ,4399,4000000,3995000,2019
Stockholm,Östermalm,"Studentbacken 34, 1tr",3.5,86 ,4958,4990000,4990000,2007
Stockholm,HammarbySjöstad,Korphoppsgatan 23,2.5,71 ,3537,4350000,3995000,2002
Stockholm,Årsta,"Slätbaksvägen 14, 3 tr",3,55.5 ,4434,3590000,2995000,1943
Stockholm,Kungsholmen,Sankt Göransgatan 153,2,42 ,1996,2900000,2995000,1950
Solna,Skytteholm,Nybodagatan 16,2,54 ,2154,3000000,2495000,1957
Sundbyberg,CentralaSundbyberg,"Sundbybergs Torg 1J, Högst upp",3,93 ,5596,6000000,5395000,2013
Stockholm,Liljeholmskajen,"Sturehillsvägen 6, 3tr",4,103 ,5994,6040000,5495000,2016
Stockholm,Södermalm,"Bondegatan 51, 5tr",2,44 ,2433,4160000,3550000,1937
Stockholm,Kista,Sibeliusgången 46,2,46 ,2960,1670000,1495000,1976
Stockholm,Västertorp,Broddgränd 10,2,58 ,2930,2620000,2295000,1949
Stockholm,Hässelby,Astrakangatan 100,4,91 ,5500,2425000,2275000,1984
Stockholm,Vasastan,"Upplandsgatan 47, 3tr",3,90 ,3551,8650000,8495000,1885
Stockholm,Vasastan,Teknologgatan 8C,1.5,35 ,2312,4150000,3295000,1898
Stockholm,Vasastan,"Rörstrandsgatan 40A, 4 tr ög",3,72 ,2459,7725000,6150000,1908
Solna,GamlaFilmstaden,Mauritz Stillers väg 16,5,121 ,7070,7550000,6595000,2006
Stockholm,Aspudden,"Sverkersgatan 6, vån 2",2,54 ,2934,3750000,2750000,1946
Stockholm,Kungsholmen,"Vänskapsvägen 49, 2 tr",2,50 ,3546,4225000,2995000,1944
Nacka,Jarlaberg,Trillans väg 4,2,63 ,4095,2285000,1995000,1988
Stockholm,Traneberg,"Sulitelmavägen 4, 2 tr",3,78 ,5031,4200000,3895000,1936
Stockholm,Svedmyra,Oppundavägen 35,3,74 ,4243,3700000,2895000,1950
Stockholm,Kristineberg,Ola Hanssonsgatan 9,1.5,31 ,1892,2600000,2395000,1934
Stockholm,Södermalm,"Folkskolegatan 3, 3 tr",1,40 ,2144,3250000,2950000,1931
Stockholm,Årsta,Siljansvägen 15,3,56.5 ,4004,3105000,2675000,1945
Stockholm,HammarbySjöstad,"Rorgängargatan 17b, pl 5",3,66.5 ,3850,4950000,4795000,2008
Stockholm,Liljeholmen,Nybohovsbacken 31,2.5,72 ,2864,4010000,3395000,1962
Stockholm,Hagsätra,Axbergsgränd 6,3,73 ,4484,2100000,2100000,1959
Nacka,VästraOrminge,Skarpövägen 57,2,61 ,4350,1995000,1995000,1969
Stockholm,Vasastan,"Frejgatan 99, 2 tr",2,46 ,1921,5225000,4195000,1904
Stockholm,Vasastan,"Norrtullsgatan 63, 6 tr",3,50 ,2531,5150000,4395000,1947
Solna,Huvudsta,"Jonstorpsvägen 12, 3 tr",2,66 ,3445,2730000,2495000,1968
Stockholm,Fruängen,Eva Bonniers gata 13,3,71 ,3997,3340000,2495000,1955
Stockholm,Bromma,Granbacken 16,2,46.5 ,3621,2460000,1995000,1939
Stockholm,Vasastan,"Roslagsgatan 47, 1,5tr",2,47 ,2244,4050000,3650000,1929
Stockholm,Hökmossen,Klensmedsvägen 11,2,43 ,2589,2600000,1950000,1944
Stockholm,Bromma,Vävstolsvägen 11,2,42 ,2880,2475000,1995000,1944
Stockholm,Spånga,Ladbacksvägen 43,3,64.3 ,3516,3200000,2995000,1996
Nacka,NackaStrand,Augustendalsvägen 21,3,62 ,3358,3995000,3995000,2019
Stockholm,Vasastan,Torbjörn Klockares Gata 18B,2,51 ,2451,4600000,4095000,1925
Stockholm,Kungsholmen,Rålambsvägen 72,4,93 ,4599,5695000,5695000,1932
Solna,Bergshamra,Åbergssons väg 17,2,63 ,2851,3450000,2950000,1990
Stockholm,Älvsjö,"Älvsjö Stationsgata 2A, 4tr",2,55 ,3165,2900000,2695000,2018
Solna,Råsunda,"Gränsgatan 26, 2 tr",2,56 ,3127,3250000,3250000,2019
Stockholm,Älvsjö,Stamgatan 9,1.5,37 ,2762,2000000,1695000,1958
Solna,Skytteholm,Nybodagatan 16,2,54 ,2154,3210000,2795000,1957
Solna,SolnaUlriksdal,Drottning Kristinas Esplanad 63,2,42 ,2415,2700000,2395000,2014
Solna,GamlaFilmstaden,Ingrid Bergmans Väg 19,2,66 ,3435,3800000,3595000,2003
Stockholm,Vasastan,Torbjörn Klockares gata 13,2,47 ,2272,4150000,3990000,1925
Stockholm,Högdalen,"Sjösabrinken 30, 2tr",1,30 ,1721,1600000,1600000,1955
Stockholm,Hägerstensåsen,"Valutavägen 29, 3 tr",3,67 ,4322,4725000,3495000,1947
Stockholm,Vasastan,"Hagagatan 20A, 2tr",2,31 ,1240,3800000,3195000,1906
Stockholm,Kungsholmen,Lidnersplan 10,1,24 ,1410,3100000,2995000,1939
Stockholm,Södermalm,Bondegatan 63,3,61.5 ,2866,5350000,4495000,1932
Stockholm,Vasastan,Tegnérgatan 16,2,44 ,639,4300000,3995000,1884
Nacka,Saltsjöbaden,Vinterbrinksvägen 55 C,2,59.2 ,2775,2045000,1995000,1884
Stockholm,Kungsholmen,"Ulriksborgsgatan 7, 16tr",1,40 ,2467,3375000,2995000,2007
Nacka,Ältacentrum,Stensövägen 9,3,78 ,4946,2350000,2195000,1971
Stockholm,Älvsjöstaden,Götalandsvägen 230 6 tr,4,93 ,4824,4450000,4395000,2017
Stockholm,Kungsholmen,"Industrigatan 2A, 6tr",3,73 ,3984,7050000,7100000,1927
Stockholm,Södermalm,Tideliusgatan 13 2tr.,3,80 ,2301,6950000,6800000,1968
Stockholm,Kungsholmen,"Polhemsgatan 5, 5 tr",2.5,63 ,2763,5850000,5650000,1931
Stockholm,Vasastan,Tomtebogatan 13B,3,82 ,2801,7725000,6995000,1909
Stockholm,Kungsholmen,"Garvargatan 20, 4 tr",2,53 ,2702,4625000,4275000,1932
Stockholm,Kungsholmen,Fridhemsgatan 68,2,58 ,2639,6600000,5795000,1904
Stockholm,Kungsholmen,"Fleminggatan 95A, 3tr ö.g.",3,101 ,3370,8730000,8475000,1904
Stockholm,Östermalm,Sibyllegatan 21A,2,31 ,940,3525000,2975000,1896
Sollentuna,Kvarnskogen,Kvarnskogsvägen 6,2,55 ,3069,1985000,1995000,2008
Stockholm,Stureby,Skönviksvägen 333,3,88 ,5258,3900000,3595000,1952
Stockholm,Ulvsunda,Almstigen 1,2,41 ,3227,2250000,2250000,1944
Stockholm,Sätra,Kungssätravägen 23 A,3,70.7 ,3889,2480000,1990000,2001
Nacka,ÄltaHedvigslund,Lobeliavägen 3,3,66 ,3623,3200000,3295000,2017
Stockholm,Maria,Fatbursgatan 33,2,41 ,2779,3800000,3925000,1901
Stockholm,Åkeslund,"Tunnlandsvägen 45, 2tr",2,47 ,2752,2700000,2700000,1942
Stockholm,Traneberg,"Tranebergsvägen 46, 3tr",1.5,43 ,1870,2950000,2495000,1934
Stockholm,Duvbo,Duvkullavägen 36B,4,85.5 ,3845,2900000,2900000,1934
Stockholm,Vasastan,"Tulegatan 42, 3tr",4,106 ,4477,8000000,7795000,1973
Solna,Råsunda,"Klövervägen 3, VÅNING 3",1,24 ,1562,2250000,1995000,1943
Stockholm,Bandhagen,Olshammarsgatan 58,4,87.5 ,5476,2420000,2190000,1960
Stockholm,HammarbySjöstad,Hammarby Allé 11,5,128 ,6617,8700000,8700000,2017
Solna,SolnaSkytteholm,Ankdammsgatan 27,5,145 ,6629,6000000,4995000,1958
Nacka,Saltsjöqvarn,"Hästholmsvägen 25, 9+10 tr",4,124.5 ,5389,7550000,7500000,2000
Stockholm,Mälarhöjden,Edsbergsgränd 8,1,33 ,1568,2400000,1995000,1942
Stockholm,Kungsholmen,Bergsgatan 49,2,44 ,2148,4200000,3995000,1931
Stockholm,Hjorthagen,Motalavägen 19,2,40 ,2661,3025000,2650000,1935
Solna,Råsunda,"Råstavägen 8 B, vån 4",2,65 ,3419,5100000,5100000,1911
Solna,Ulriksdal,"Cronhielms Allé 33, vån 3",2,59 ,3442,3100000,2995000,2016
Stockholm,Sofia,"Malmgårdsvägen 30L, 4tr",2,58 ,3438,4650000,3950000,2005
Stockholm,Hässelby,"Maltesholmsvägen 163, 1tr",3,76 ,4540,2500000,2295000,1957
Stockholm,Råcksta,Östersundsgatan 7,1,39 ,1972,1970000,1795000,1957
Stockholm,Bagarmossen,Kolbäcksgränd 25,2,58 ,3866,2865000,2395000,1954
Sollentuna,Kärrdal,Lomvägen 37,1,29.5 ,1746,1335000,1000000,1975
Stockholm,Midsommarkransen,Pingstvägen 12,1,35 ,2235,2780000,2195000,1949
Stockholm,Vällingby,"Råcksta Gårdsväg 23, 5tr",2,42 ,3149,2300000,1995000,2012
Stockholm,HammarbySjöstad,"Hammarby Kaj 42, 3tr",3,76 ,4281,6500000,5725000,2008
Nacka,VästraOrminge,Skarpövägen 13,3,81 ,4281,2350000,1995000,2008
Stockholm,Fruängen,Ada Nilssons gata 19 våning 10,3,74 ,3970,3775000,3695000,2009
Solna,Frösunda,Gustav III:s Boulevard 91,3,74 ,4307,3600000,3600000,2004
Stockholm,Vasastan,Torbjörn Klockares Gata 18A,2,42 ,2241,4300000,3795000,1925
Solna,Råsunda,"Näckrosvägen 41, 5tr",2,62 ,3578,3800000,3295000,1946
Stockholm,Årsta,Årstavägen 68,2,56 ,3464,2825000,2495000,1946
Stockholm,Katarina,"Tjärhovsgatan 52, 3tr",2,61 ,1933,4700000,4395000,1975
Stockholm,Bromma,"Askängsbacken 8, 2tr",4,87 ,5437,4950000,4595000,2012
Solna,VästraSkogen,Diktarvägen 8,3,87.5 ,4508,4300000,3795000,2016
Stockholm,Kungsholmen,"Lustgårdsgatan 20, vån 9",2,49 ,2413,4050000,3895000,2013
Stockholm,Årsta,"Slätbaksvägen 38, 3 tr",2,44 ,3002,2700000,2395000,1943
Stockholm,Mälarhöjden,"Hägerstensvägen 308, vån 2 av 3",2,53 ,3526,3100000,2895000,1926
Stockholm,Älvsjö,Götalandsvägen 243,3,76 ,3927,3350000,2995000,2008
Stockholm,Kungsholmen,"Baltzar Von Platens Gata 6, 4tr",2,48 ,2741,4100000,4100000,1931
Stockholm,Östermalm,Nybrogatan 44,2,35 ,1482,3675000,3150000,1963
Stockholm,HammarbySjöstad,Virkesvägen 13,1,22 ,1513,2250000,1950000,1963
Stockholm,Södermalm,Fatburs Kvarngata 28,2,67 ,4076,4630000,4150000,1992
Stockholm,Globen,Pastellvägen 13,1,25 ,1641,2140000,1795000,1943
Stockholm,Bagarmossen,Ljusnevägen 6,3,77 ,4057,3950000,3295000,2009
Stockholm,Örby,Gamla Huddingevägen 441,1,26 ,1551,1725000,1495000,2015
Solna,Huvudsta,"Wiboms Väg 10, 10tr",4,103 ,4910,4370000,4195000,1967
Stockholm,ÄlvsjöHagsätra,Porlabacken 13,2,62 ,4364,1800000,1795000,1958
Stockholm,Kungsholmen,Kungsholmsgatan 17b - vindsvåning,3,77 ,4430,7120000,6995000,1909
Stockholm,Gullmarsplan,Gullmarsvägen 2,3,75 ,3863,4550000,4195000,1946
Stockholm,Östermalm,Östermalmsgatan 21,2,66 ,3174,6200000,6390000,1912
Stockholm,JohanneshovGloben,"Bildhuggarvägen 23, 3 tr",1.5,28 ,1758,2325000,1995000,1945
Sundbyberg,Sundbyberg,"Lavettvägen 41, 3 tr",3,79.5 ,4292,2650000,2495000,1983
Stockholm,Johannesfred,Stångjärnsvägen 15,3,64 ,3865,2925000,2595000,1946
Stockholm,Kungsholmen,Hantverkargatan 76 D,2.5,66 ,1344,6200000,5590000,1946
Stockholm,Traneberg,Sulitelmavägen 37,3,73 ,3737,5300000,5300000,1946
Stockholm,Östermalm,"Sibyllegatan 11B, 2 tr",1,31 ,1928,4200000,3495000,1906
Stockholm,Södermalm,"Bergsunds Strand 42, 1+2 tr etage",2.5,68 ,2162,5340000,4695000,1964
Stockholm,Älvsjö,Förlandagränd 84,2,57 ,3128,2000000,1795000,1968
Stockholm,Södermalm,Katarina Bangata 25 5 tr,2,43 ,2002,3900000,3995000,1968
Stockholm,Kungsholmen,"Arbetargatan 28D, 4 tr",3,83 ,3096,6310000,5950000,1969
Nacka,JärlaSjö,Turbinvägen 5B,4,84 ,4900,5400000,5400000,2017
